"","Year","Continent","percentage"
"1",2000,"Asia",12.15327081152
"2",2001,"Asia",12.5530921374674
"3",2002,"Asia",12.1443965416428
"4",2003,"Asia",12.2823955969002
"5",2004,"Asia",12.0581620060384
"6",2005,"Asia",12.4279412764746
"7",2006,"Asia",12.9668711329187
"8",2007,"Asia",12.6302926614984
"9",2008,"Asia",12.2816501057073
"10",2009,"Asia",12.2931885114406
"11",2010,"Asia",12.5355459089285
"12",2011,"Asia",12.2094756038861
"13",2012,"Asia",12.6458993517572
"14",2013,"Asia",12.9006608597593
"15",2014,"Asia",12.4308953022314
"16",2015,"Asia",12.5874970997866
"17",2016,"Asia",12.2658604225131
"18",2017,"Asia",12.2412566275994
"19",2018,"Asia",12.7611075874238
"20",2019,"Asia",12.6876026330101
"21",2020,"Asia",12.598680852024
"22",2000,"Africa",32.2224553672329
"23",2001,"Africa",31.965992013789
"24",2002,"Africa",32.6107820514237
"25",2003,"Africa",33.0964343901689
"26",2004,"Africa",32.5587685740045
"27",2005,"Africa",31.4875715631207
"28",2006,"Africa",30.5804859245915
"29",2007,"Africa",30.5028128039
"30",2008,"Africa",30.6369453700061
"31",2009,"Africa",30.3969465649954
"32",2010,"Africa",30.4056781118108
"33",2011,"Africa",31.1673178615877
"34",2012,"Africa",30.7970978354071
"35",2013,"Africa",29.7679526764915
"36",2014,"Africa",30.041560681425
"37",2015,"Africa",29.3397952566831
"38",2016,"Africa",28.685670142121
"39",2017,"Africa",27.9339585130155
"40",2018,"Africa",27.2007525924415
"41",2019,"Africa",27.5305660084876
"42",2020,"Africa",27.9517992962788
"43",2000,"Europe",29.2324160262168
"44",2001,"Europe",29.2961278952236
"45",2002,"Europe",29.0310032931135
"46",2003,"Europe",29.0019462744783
"47",2004,"Europe",29.9001483639829
"48",2005,"Europe",30.0841320073505
"49",2006,"Europe",30.1048951943953
"50",2007,"Europe",31.0823824535005
"51",2008,"Europe",31.2984606651054
"52",2009,"Europe",32.4643925793927
"53",2010,"Europe",32.1108047620557
"54",2011,"Europe",31.0937207564261
"55",2012,"Europe",31.9231906504399
"56",2013,"Europe",33.256491616412
"57",2014,"Europe",34.1349151993056
"58",2015,"Europe",34.531362576555
"59",2016,"Europe",34.884637013206
"60",2017,"Europe",34.5423496296883
"61",2018,"Europe",34.7151235249079
"62",2019,"Europe",35.4643049056017
"63",2020,"Europe",35.2307023487989
"64",2000,"North America",11.3686871698809
"65",2001,"North America",10.7554507612076
"66",2002,"North America",10.8376763717263
"67",2003,"North America",10.489327190008
"68",2004,"North America",11.0175408531591
"69",2005,"North America",11.3707584513142
"70",2006,"North America",11.9360370907853
"71",2007,"North America",11.0980932649509
"72",2008,"North America",11.7472809460005
"73",2009,"North America",10.9724415693237
"74",2010,"North America",11.0696163787885
"75",2011,"North America",11.2821997770138
"76",2012,"North America",11.2245888869304
"77",2013,"North America",11.0048684954589
"78",2014,"North America",10.6448139642479
"79",2015,"North America",10.6866966804864
"80",2016,"North America",10.9349471695826
"81",2017,"North America",11.4952781850137
"82",2018,"North America",11.4476254225045
"83",2019,"North America",10.6107652154352
"84",2020,"North America",10.9957581926414
"85",2000,"South America",10.9328012356329
"86",2001,"South America",11.3682301236509
"87",2002,"South America",11.2965568637766
"88",2003,"South America",11.3468662201277
"89",2004,"South America",10.6027520802071
"90",2005,"South America",10.8660644418024
"91",2006,"South America",10.7193445990276
"92",2007,"South America",10.7097865092516
"93",2008,"South America",10.1231273321063
"94",2009,"South America",9.99622569675333
"95",2010,"South America",10.0888878961682
"96",2011,"South America",10.023331397023
"97",2012,"South America",9.27992152266464
"98",2013,"South America",8.97509746760258
"99",2014,"South America",8.82547756288945
"100",2015,"South America",8.86316902854908
"101",2016,"South America",9.06474728179543
"102",2017,"South America",9.71621850171818
"103",2018,"South America",9.60590316312528
"104",2019,"South America",9.45275248129733
"105",2020,"South America",9.12759003335838
"106",2000,"Oceania",4.09036938951653
"107",2001,"Oceania",4.06110706866155
"108",2002,"Oceania",4.07958487831722
"109",2003,"Oceania",3.78303032831695
"110",2004,"Oceania",3.86262812260799
"111",2005,"Oceania",3.76353225993752
"112",2006,"Oceania",3.69236605828164
"113",2007,"Oceania",3.97663230689861
"114",2008,"Oceania",3.91253558107446
"115",2009,"Oceania",3.87680507809427
"116",2010,"Oceania",3.7894669422483
"117",2011,"Oceania",4.22395460406337
"118",2012,"Oceania",4.12930175280076
"119",2013,"Oceania",4.09492888427584
"120",2014,"Oceania",3.92233728990062
"121",2015,"Oceania",3.99147935793984
"122",2016,"Oceania",4.16413797078184
"123",2017,"Oceania",4.07093854296486
"124",2018,"Oceania",4.26948770959696
"125",2019,"Oceania",4.25400875616811
"126",2020,"Oceania",4.09546927689857
